complaint_id,date_submitted,product,company,state,consumer_narrative,outcome,_true_theme,_true_confidence,_true_theme_2,_true_valence_score,_true_valence_label,_true_emotion
CFPB-000000,2025-05-12T12:00:00-05:00,Credit reporting,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",TX,I have no connection to these inquiries or the listed creditors. I request their immediate removal from my credit report.,Closed with non-monetary relief,Unauthorized Credit Inquiries,0.9,,2,Negative,Frustrated
CFPB-000001,2020-10-08T12:00:00-05:00,Credit reporting,"Duvera Billing Services, LLC",PA,"I rece

ived a letter stating that I opened a account with XXXX XXXX XXXX   back in may ( in the middle of a pandemic ). I have no recollection of this company. I have called multiple times and at one point they hung up on me. They never answer my questions directly. I filed multiple disputes with them and they are still on my credit report",Closed with explanation,Dispute Process Failures,0.95,,2,Negative,Frustrated
CFPB-000002,2025-04-22T12:00:00-05:00,Credit reporting,"EQUIFAX, INC.",VA,"TO : Equifax Information Services LLC XXXX. XXXX XXXX XXXX, GA XXXX Subject : Intent to Sue for FCRA & CFPA Violations Failure to Remove Inaccurate/Incomplete Accounts To Whom It May Concern, The Burden is on Equifax This letter is a formal notice of my intent to pursue legal action against your organization for noncompliance with the Fair Credit Reporting Act ( FCRA ), 15 U.S.C. 1681, et seq. & Consumer Financial Protection Act of 2010 ( CFPA ), 12 U.S.C. 5531 and 5536 On dates [ XX/XX/XXXX, XX/XX/XXXX, XX/XX/XXXX ], I submitted formal disputes regarding inaccurate and/or incomplete information listed on my credit report. Equifax continues to fail to maintain reasonable procedures to ensure the highest possible accuracy of consumer informationboth in its handling of consumer disputes and in its credit reporting systems. Due to these failures, including a known coding error, Equifax is providing inaccurate credit scores and credit attributes to lenders and other third parties, which is",Closed with explanation,Dispute and Investigation Process Issues,0.95,Inaccurate or Erroneous Credit Reporting,1,Very Negative,Angry
CFPB-000003,2023-11-15T12:00:00-05:00,Credit reporting,"EQUIFAX, INC.",GA,"In accordance with the Fair Credit Reporting Act. The List of accounts below has violated my federally protected consumer rights to privacy and confidentiality under 15 USC 1681. 

Account Name : XXXX XXXX  Account NumberXXXX Account Name : XXXX  XXXX Account NumberXXXX has violated my rights. Or a list of inquiries : 15 U.S.C 1681 section 602 A. States I have the right to privacy.

15 U.S.C 1681 Section 604 A Section 2 : It also states a consumer reporting agency can not furnish a account without my written instructions 15 U.S.C 1681c. ( a ) ( 5 ) Section States : no consumer reporting agency may make any consumer report containing any of the following items of information Any other adverse item of information, other than records of convictions of crimes which antedates the report by more than seven years.

15 U.S.C. 1681s-2 ( A ) ( 1 ) A person shall not furnish any information relating to a consumer to any consumer reporting agency if the person knows or has reasonable cause to beli",Closed with non-monetary relief,Unauthorized Credit Inquiries,0.7,,2,Negative,Worried
CFPB-000004,2025-02-06T12:00:00-05:00,Credit reporting,Experian Information Solutions Inc.,TX,"XX/XX/year> XXXX XXXX XXXX XXXX XXXX CT XXXX, TX XXXX Email : XXXX Phone : XXXX ( XXXX ) XXXX Experian Information Services XXXX XXXX XXXX XXXX, TX XXXX To Whom It May Concern : I am writing to formally dispute a charge-off that appears on my credit report. This entry is inaccurate and violates multiple provisions of the Fair Credit Reporting Act ( FCRA ) and other federal regulations.

According to 15 U.S.C. 1681i, credit reporting agencies are required to conduct a reasonable investigation when a consumer disputes the accuracy of information on their credit report. The charge-off listed in my report is incorrect and should be removed. 

Additionally, I believe the following laws have been violated : 15 U.S. Code 6802 Obligations regarding the disclosure of personal information.

U.S. Code 6803 Disclosure of privacy policies to protect consumers.

15 U.S. Code 1681e ( b ) Requirement for credit reporting agencies to ensure maximum possible accuracy of the information reported.

15 U.S",Closed with explanation,Dispute Process Failures,0.9,,2,Negative,Frustrated
CFPB-000005,2020-01-07T12:00:00-05:00,Debt collection,"CCS Financial Services, Inc.",MA,"I NEED HELP PLEASE! I have BEEN TRYING FOR MONTHS NOW! I have disputed this item with the credit reporting agency and they reported you confirmed the account as valid. I honestly do not believe in ever have any relationship with this collection agency or original creditor. Also, there are several inaccuracies with this account the way it's reporting and that's a total violation of FCRA and FDCPA laws and regulations. In a good faith effort to resolve the matter amicably, I must demand proof of this debt, specifically the alleged contract or other instrument bearing my signature, as well as proof of your authority in this matter. Absent such proof, you must correct any erroneous reports of this past debt as mine. I am writing to request that you please provide the following information : 1. Please evidence your authorization under 15 USC 1692 ( e ) and 15 USC 1692 ( f ) in this alleged matter. 2. What is your authorization of law for your collection of information? 3. What is your autho",Closed with explanation,Debt Collection Practices,0.9,Dispute Process Failures,1,Very Negative,Frustrated
CFPB-000006,2021-02-12T12:00:00-05:00,Credit reporting,Experian Information Solutions Inc.,UT,"On my credit report I was looking into, I noticed that the information that was on my credit report that was reported for my Vehicle Loan and the Company, has reported in correct information as with they have not reported to the credit bureaus monthly as agreed when I purchased the car. They have incorrect, false information that has personally not helped my credit score whatsoever since opening the loan last year. Theyve reported spotty and also reported I was 90 days past due one month which is incorrect. The payment amount monthly I pay is incorrect as with the balance and initial loan amount. Ive contacted them and they said they would contact me back but I never heard back. I sent messages as well detailing the mistakes and inadequate information being reported and they never responded. But they did harass me and contact me via phone, text and email daily when i was past due with my payment. But now refuse to contact me back, or state that the information they have doesnt reflect ",Closed with explanation,Inaccurate Payment History & Account Data,0.85,Debt Collection Practices,2,Negative,Frustrated
CFPB-000007,2024-12-23T12:00:00-05:00,Credit reporting,"EQUIFAX, INC.",FL,"I am writing to dispute fraudulent information on my credit report pursuant to 15 U.S.C 1681c-2 and to request that this information be blocked. I have enclosed a copy my Police Report/FTC identity theft report ( FTC REPORT NUMBERXXXX ) to support my identity theft claim. Under 15 U.S.C. 1681c-2 when a consumer submits an identity theft report, credit reporting agencies must block any information identified by the consumer as resulting from identity theft within four business days.

To following information on my credit report is the result of identity theft and should be blocked : XXXX. XXXX XXXX XX/XX/XXXX XXXX. XXXX XXXX XXXX XX/XX/XXXX XXXX. XXXX XX/XX/XXXX XXXX. XXXX  XX/XX/XXXX XXXX. XXXX XX/XX/XXXX XXXX. XXXX XXXX XX/XX/XXXX XXXX. XXXX  XX/XX/XXXX XXXX. XXXX XX/XX/XXXX XXXX. XXXX XX/XX/XXXX XXXX. XXXX XXXX XX/XX/XXXX XXXX. XXXX XX/XX/XXXX XXXX. XXXX XX/XX/XXXX As required by 15 U.S.C 1681c-2, please block this fraudulent information from my credit report immediately. This inform",Closed with explanation,Identity Theft & Fraudulent Accounts,0.95,,2,Negative,Worried
CFPB-000008,2019-07-20T12:00:00-05:00,Mortgage,U.S. BANCORP,CA,"Summary : U.S. Bank refuses to transfer the appraisal ( which I paid for ) on my home to XXXX, forcing me to purchase another home appraisal to work with XXXX. 

Other institutions have the practice of transferring your appraisal, but because U.S. Bank refuses to do so due to company policy. Their company policy on home appraisal transfers is anti-consumer. 

XX/XX/2019 I applied for a mortgage with U.S. Bank to refinance my home and receive an offer. 

XX/XX/2019 I take time off work to be home for House Appraiser appointment. 

XX/XX/2019 I receive the PDF summary of my home appraisalXX/XX/2019 I get a better offer for a mortgage from Loan Depot and confirm that they can use my home appraisal, provided that U.S. Bank transfers the appraisal to them. 

XX/XX/2019 I cancel the mortgage offer with U.S. Bank and am charged about {$930.00} in fees ( which include the cost of the appraisal ) XX/XX/2019 I try to get U.S. Bank to transfer my home appraisal to XXXX but they state that they do",Closed with explanation,Loan & Mortgage Servicing,0.9,,2,Negative,Disappointed
CFPB-000009,2020-07-13T12:00:00-05:00,Credit reporting,"EQUIFAX, INC.",VA,Back in 2018 I filed a claim for the equifax breach settlement to receive the {$120.00} payout. I have never received it.,Closed with explanation,None of the above,0.75,,2,Negative,Disappointed
